epoch,train_loss,val_loss,lr,timestamp
1,0.03370372185546425,0.0014051763342542794,0.0009059439748286063,2025-08-16T16:43:26.516122
2,0.002241269997435342,0.0007969662504311761,0.0009059439748286063,2025-08-16T16:43:30.069959
3,0.0015067325196474607,0.0006888191920177847,0.0009059439748286063,2025-08-16T16:43:33.416784
4,0.0012018011327250147,0.0005353840747642715,0.0009059439748286063,2025-08-16T16:43:36.777207
5,0.0010111762280004568,0.0013150963898035971,0.0009059439748286063,2025-08-16T16:43:40.188675
6,0.0009080459816564172,0.0007130636350826963,0.0009059439748286063,2025-08-16T16:43:43.606037
7,0.0008452567536143895,0.0006040273485054701,0.0009059439748286063,2025-08-16T16:43:46.963686
8,0.0007255701419605983,0.00045374000140274056,0.0009059439748286063,2025-08-16T16:43:50.256638
9,0.0006750032082171483,0.00043818261260372205,0.0009059439748286063,2025-08-16T16:43:53.561046
10,0.0006526630618923738,0.00035630109478541487,0.0009059439748286063,2025-08-16T16:43:56.813743
11,0.00056477098445768,0.0003794790100073442,0.0009059439748286063,2025-08-16T16:44:00.100190
12,0.0005577745089633104,0.0005311553228667061,0.0009059439748286063,2025-08-16T16:44:03.358539
13,0.0005028658220473037,0.00037615438443882503,0.0009059439748286063,2025-08-16T16:44:06.615541
14,0.0004864067413795602,0.00042830234622884104,0.0009059439748286063,2025-08-16T16:44:09.785968
15,0.0004898408567818579,0.00031523989309789613,0.0009059439748286063,2025-08-16T16:44:13.000503
16,0.00044897665088264945,0.0003823505133315099,0.0009059439748286063,2025-08-16T16:44:16.154093
17,0.0004799747148577261,0.0003931949365377317,0.0009059439748286063,2025-08-16T16:44:19.973958
18,0.0004347637984930235,0.00046662757128668837,0.0009059439748286063,2025-08-16T16:44:23.158068
19,0.0004202373707209902,0.0003330853206160314,0.0009059439748286063,2025-08-16T16:44:26.590324
20,0.00042187337237953044,0.0004746212837156182,0.0009059439748286063,2025-08-16T16:44:30.279345
21,0.0004211306808362115,0.0006093814706272336,0.0009059439748286063,2025-08-16T16:44:33.534522
22,0.00037015042145610816,0.00036042927711284445,0.00045297198741430314,2025-08-16T16:44:37.090901
23,0.00036222039328379546,0.0003438808767789263,0.00045297198741430314,2025-08-16T16:44:40.331139
